NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1997_07_22_a130_seg2_s6;9;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_06_25_a78_seg9_s5;12;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_05_02_a7_seg3_s6;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_05_02_a108_seg3_s3;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_05_13_a165_seg2_s6;9;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_05_23_a77_seg3_s1;17;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_05_24_a212_seg3_s13;28;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_03_01_a171_seg3_s8;3;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_03_12_a87_seg4_s1;22;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_03_18_a123_seg3_s9;13;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_11_06_a161_seg3_s2;4;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_11_20_a205_seg6_s19;34;;;x;;;;;;;;;;;;;;;ambiguous;;;;EXP-related_object, STM_coordination;;
NZZ_1997_11_22_a201_seg8_s11;29;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_11_25_a214_seg5_s1;4;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_10_07_a116_seg4_s1;46;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_10_20_a156_seg3_s25;41;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_10_21_a36_seg4_s3;13;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1997_09_15_a3_seg6_s4;2;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1997_09_18_a179_seg3_s17;9;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_04_03_a109_seg5_s3;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_04_03_a237_seg4_s1;5;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_04_16_a178_seg2_s12;5;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_04_29_a52_seg4_s4;6;;;x;;;;;;;;;;;;;;;inanim;;;;;metaphor in PP;
NZZ_1998_08_03_a46_seg10_s1;30;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_08_07_a156_seg8_s16;17;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1998_08_20_a224_seg3_s3;22;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_08_22_a27_seg14_s3;26;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_12_05_a246_seg6_s7;6;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1998_12_15_a187_seg2_s8;12;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_02_09_a114_seg3_s1;6;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_02_14_a117_seg5_s6;22;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1998_02_27_a68_seg3_s32;4;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_01_31_a195_seg4_s4;15;;;;;;;;x;;;;;;;;;;;an;;;pronominal_adverb;;
NZZ_1998_01_03_a138_seg2_s1;36;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_01_14_a100_seg4_s7;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_07_13_a69_seg5_s5;3;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1998_07_16_a97_seg2_s11;16;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_06_06_a53_seg3_s5;10;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_06_22_a153_seg3_s12;25;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1998_05_30_a154_seg7_s1;27;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_05_12_a113_seg6_s18;38;;;;;x;;;;;;;;;;;;;;über;;;;;
NZZ_1998_05_13_a181_seg10_s2;52;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_05_16_a262_seg11_s4;22;;;x;;;;;;;;;;;;;;;anim;;x;;EXP-related_object;Kategorie?;
NZZ_1998_03_11_a119_seg6_s2;8;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1998_03_12_a196_seg3_s15;15;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object;;
NZZ_1998_03_16_a74_seg8_s5;3;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_03_21_a189_seg3_s3;15;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_11_03_a203_seg3_s13;12;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_11_05_a245_seg3_s7;15;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1998_11_06_a46_seg6_s8;25;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_10_01_a229_seg7_s6;7;;;x;;;;;;;;;;;;;;;inanim;;;;STM_coordination;;
