NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1998_07_13_a113_seg12_s14;6;;;;x;;;;;;;;;;;;;;propositional;;;;;;necessarily propositional=
NZZ_1998_07_18_a65_seg2_s7;19;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_07_23_a41_seg5_s22;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1998_07_24_a24_seg3_s19;11;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_07_24_a144_seg4_s18;7;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_07_24_a211_seg8_s13;34;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_06_06_a49_seg8_s1;2;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_06_18_a53_seg22_s23;4;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_05_30_a88_seg7_s13;7;;;;x;;;;;;;;;;;;;;ambiguous;;;;non-phoric_es;;wollen
NZZ_1998_05_30_a175_seg1_s49;21;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_05_02_a249_seg11_s4;18;;;;x;;;;;;;;;;;;;;inanim;als;;;;;
NZZ_1998_05_14_a140_seg7_s15;9;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1998_05_26_a178_seg8_s14;7;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C, fragment;;
NZZ_1998_04_30_a155_seg3_s27;11;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_03_04_a23_seg5_s4;3;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1998_03_20_a136_seg4_s4;29;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_03_24_a201_seg6_s6;3;;;;x;;;;;;;;;;;;;;propositional;;;;;;wollen
NZZ_1998_03_27_a232_seg8_s14;16;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_11_20_a27_seg20_s12;12;;;;x;;;;;;;;;;;;;;clash of coordinations;;;;idiomatic;;
NZZ_1998_10_07_a140_seg3_s30;4;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_10_08_a31_seg11_s12;13;;;;x;;;;;;;;;;;;;;propositional;;;;;;
